title,price,condition,link
Shop on eBay,20.00,Brand New,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
Lot 12 Pairs Mens Womens Ankle Socks Sport Cotton Crew Socks Low Cut Invisible,4.59 to 12.59,Brand New,https://www.ebay.com/itm/374082408383?hash=item57190c8fbf:g:ciQAAOSwbzBihJUr&amdata=enc%3AAQAHAAAA0POT48oE%2F8hWLD9pGGekRzpjPvHKvJLQeX%2FFNPIQeDZiRkwbApngkoIIji7pqEi%2Brb3XKYN2Ub0VSWbGO89RjmvkCIxbZTkvKdodTxI0RGgtj1X3TlRzNvPR5snFeVT6KOs0D5OTHP5Xz01BsB%2FrZmCov801f3xs5tay3TLmrR7hDZPFn%2FO0BdoeOYB%2FWHY6gx0DQ0z%2FPWguVASAzVj16DibsHtFPymmRvmc1kJfldv9t65UR5wKYrDPl339hLceSUTVsH%2BkguY6DihzHTu6wmQ%3D%7Ctkp%3ABFBM7q35k99h
Lot 1-12 Pairs Mens Womens Ankle Socks Sport Cotton Crew Socks Low Cut Invisible,2.95 to 12.95,Brand New,https://www.ebay.com/itm/394460966125?hash=item5bd7b4aced:g:Q84AAOSwR4lj6g~m&amdata=enc%3AAQAHAAAA0AECG0NnRdmk7HtBZEwJy3OTioe5iIYfbK%2FYB3VO0k%2BoekC11WxS3YLaACIsI3INBfblYYfiQnjOqfQIjn1t6yS4JIlphXhxaWJC6aAZNr2HkAqgE7xH2OiLU%2BSaM5Baqr0iJZCQGJiqmrM%2FFb1jLiaaeHsuT7s8wu3LLvdvhrMf4oEoL%2BUjMXB9I%2FVVZ%2Bqtygw677Roki2IMo0kaQ5f0kcuu2%2FWoGhBLmn8baO%2BbkP635z6Z2bjWr7h4kMnSUxm0lmHvuI7d%2FKcyWQVh4kxu5A%3D%7Ctkp%3ABFBM7q35k99h
Lot 3-12 Pairs Mens Solid Sports Athletic Work Plain Crew Socks Size 9-11 10-13,6.99 to 17.99,Brand New,https://www.ebay.com/itm/153839813369?hash=item23d19142f9:g:DTAAAOSwKHteTwuh&amdata=enc%3AAQAHAAAA0KEmY80Uor5SCEQHcNskf%2Bx5nFobpOn8HVSF%2FrIZuaR4OGeMwpmTqvF4XEaKCTDVktmbwrxfoTa7yXRQ0LLEVAhvjXN78F%2BwUMmG%2B5NXuILP%2BkAHskk73atp9Oj%2BhnoVzxoqJ1SEKez1NtJF%2FKboFn0Zo4p5ELBK4OajB7Mrq5PWTVUcshdQFXXZVL0PyG9D%2BtqLz5COFFJkQizJQVMVG61aS0%2B%2FQv5qEOEKsBYMj5gNrnL0MPIdUISZliOYxRoq70Z5WFEt0WJlX02yMuqs0HY%3D%7Ctkp%3ABFBM7q35k99h
Lot 1-12 Pairs Mens Womens Ankle Socks Sport Cotton Crew Socks Low Cut Invisible,2.95 to 13.95,Brand New,https://www.ebay.com/itm/374164004681?hash=item571de99f49:g:JcsAAOSwloxjd1Rn&amdata=enc%3AAQAHAAAA0JIpYkobqH%2B6yBglmFZNr9dtvp5ib0r%2FTP0ebuXGP7DdvLYa%2F0zXGdmIfcI6tTL20ggUfHg2twpkUTU7WLH7Kmr9yhj1zjMklWxavdzI2ja202pLN4wLVQJN%2BVK%2F9IquFaqTu%2BEyWOYIzQcREFGziFAcTjaBx%2BH8bpbJPcQzmywTvxql8q8V5jR5ZlbAF2NgKgqrk3QnjLzVEFFTb%2BOVBwrJZZ%2Bvoo2JiSGu6%2BqkPuF%2FsJFsfG3Ce8OQOMu63M5mSXvYGdWGcuuVEY5ppuTiew8%3D%7Ctkp%3ABFBM7q35k99h
"Nike Everyday Plus Cushioned Training Socks 1, 2, 3, OR 6 PAIRS WHITE OR BLACK",9.59 to 22.99,Brand New,https://www.ebay.com/itm/185490224081?hash=item2b301433d1:g:vyAAAOSw7ZRZjVG9&amdata=enc%3AAQAHAAAA4Kp6JGGcFvXK5f6bIYRq6niipbJ8xIa6zqK%2FizGm%2BQowGbaaHHxN%2Fe%2BzVFsDJiaIfS9wb8n5j9Jmiz30IHe%2FK4mAjD2USoDuCDJYMy0c%2FTYPZZWxW5Z8ra4wNPWZpgZH5BYF6JQWVFvNoE%2BiMJKc9ogxzQA4Q23tImhYGaLcP05663D8la14xmGKoLs8OE29gYdsSCdKQnjM7k4LdTJjPOxyFQEmsg0IiBv9zOr92KENU1ep4roBD9yWXMGFTkPijanOUqWniVALoz%2FRMqcOVx7pyp6csqI53cyn6fHisALl%7Ctkp%3ABk9SR-6t-ZPfYQ
Compression Socks Stockings Womens Mens Knee High Medical 20-30 mmHG S/M-X/XL,5.98,Brand New,https://www.ebay.com/itm/224853006520?hash=item345a4898b8:g:naUAAOSwK4thFI3N&amdata=enc%3AAQAHAAAA4CDvZygc7t7XMqOcPTAqCyS9Lrgb0j2lruxWjqQCiRPE0ammovjfTY0S0l8AWfcaoyXJ8i68ysxhCbJc2kzpMaL8BicCd%2FJ1yJSSSfb9DAGwsSxmALlCDpg8b3UtvdkKH%2FE%2BiSso0IFqe%2B5PnkIpusKEo92cBswKNGwG0c2qa8zTXETFapX25Y7l50BbRC6NHbS0CWvCMnnVFbdOngbzpglwxbDW1IOcSofUp3DZwRb50HhSUEmPQGLOj1dVft5iSPf2SH8ZzJLZZ6YrqZjbMwN24DoFT85wbDHPh4CEcKgD%7Ctkp%3ABk9SR_Ct-ZPfYQ
Mens 3-12 Pairs Cotton Sports Comfort Ankle/Quarter Crew Low Cut Socks Size 9-13,5.88 to 12.99,Brand New,https://www.ebay.com/itm/165058438311?hash=item266e3fe4a7:g:w0UAAOSwsG5hN7hv&amdata=enc%3AAQAHAAAAwDzRK%2Bsfg1h3sDchUM1xdBOR3n%2BnBKLNM7O1%2BL7FcsF%2FZQhPl%2B6Tv%2BT23SEB3jUcBhK232qxp63C8IimEDpPGyYPNucCNhA0aKZMEdXGueSo8pi7302fbgTiXM818M8R4n1HUmP5XxivBFez88N91zyY0XidS8XdYZ7w2VK%2F37ThYP6QiFHMBr2k0y262YCIbl%2Fyp%2Bm9vqTuI3IdGQntEN5nEfF5G6j9xeFFjoAHcTAIeFkXdc%2BHzZ%2FJUsW4X6QuuQ%3D%3D%7Ctkp%3ABk9SR_Ct-ZPfYQ
3 6 12 Pairs Mens White Sports Work Athletic Crew Socks Cotton Size 9-11 & 10-13,6.99 to 16.99,Brand New,https://www.ebay.com/itm/331751474992?hash=item4d3dedc730:g:M3MAAOSwwPhWkuVk&amdata=enc%3AAQAHAAAAwLUsBy9WDOD49VSFCaSJbcdJJkKC0LypK8xwH0KhPp7gPbKix4TiFnLTxsDfkVguVxm%2BkqGL3IQFrEc6i6hXaC%2FHQlINnZHO6cwkYRtof4vr3Sl%2Fewm882gUN5GAXGz7HPCFeSXT2UhJpxfhzCiLrcPqY%2BJwtlNhIGX%2BhHk%2BTieT2Swap0D9XAMSsFGkBCexFntCl4cvtTX9Tjs3Jmoey8IUvawTk0paCJneDfnt840eMDqqQgl0aqe72JQtn3TQbQ%3D%3D%7Ctkp%3ABk9SR_Ct-ZPfYQ
Mens NIKE Everyday Performance PLUS Crew Socks Pick 1 - 3 - 6 Pairs Dri Fit NEW,9.77 to 23.76,New (Other),https://www.ebay.com/itm/234105580588?hash=item3681c7ac2c:g:eDEAAOSwvddfxp3a&amdata=enc%3AAQAHAAAAwIqpfrS8dtrMA242z42VT07Cn6lyUek3PZvN9ZhHqF%2BSrif1oOjMZBnbJ9Zr%2BfwLZJ%2FOHl%2B5DYZw0vthq4ATlHfM29iNM12%2Fu3CXYqnvMC2xlgX%2FjDE8xtn6WV9eaF4ltTbqPanWhxTh5NLj%2F0RIqoED%2BT5BT6TcpAmV%2FZBRAEfTA0nKQ9CHlQCZPCFGrGychmFuX%2FXChupPWsSEnJwY749Mz9mzSayB3sL9ls8o2X0k9BDljJCTTuQJ6ITQd92uIA%3D%3D%7Ctkp%3ABk9SR_Ct-ZPfYQ
